"","stockkey","stockkeylabel","stockkeydescription","speciesfaocode"
"129",169105,"gug.27.3a47d","Grey gurnard (Eutrigla gurnardus) in Subarea 4 and divisions 7.d and 3.a (North Sea, eastern English Channel, Skagerrak and Kattegat)","gug"
"130",169106,"guq-nea","Leafscale gulper shark (Centrophorus squamosus) in subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)","guq"
"131",169106,"guq.27.nea","Leafscale gulper shark (Centrophorus squamosus) in subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)","guq"
"132",169107,"gur-comb","Red gurnard (Chelidonichthys cuculus) in subareas 3–8 (Northeast Atlantic)","gur"
"133",169107,"gur.27.3-8","Red gurnard (Chelidonichthys cuculus) in subareas 3–8 (Northeast Atlantic)","gur"
"134",136539,"had-34","Haddock in Subarea IV (North Sea) and Division IIIa (Skagerrak - Kattegat)","had"
"135",169108,"had-346a","Haddock in Subarea IV and Divisions IIIa West and VIa (North Sea. Skagerrak and West of Scotland)","had"
"136",169109,"had-7b-k","Haddock in Divisions VIIb-k","had"
"137",169110,"had-arct","Haddock in Subareas I and II (Northeast Arctic)","had"
"138",169111,"had-faro","Haddock in Division Vb","had"
"139",169112,"had-iceg","Haddock in Division Va (Icelandic haddock)","had"
"140",169113,"had-iris","Haddock in Division VIIa (Irish Sea)","had"
"141",169114,"had-rock","Haddock in Division VIb (Rockall)","had"
"142",136551,"had-scow","Haddock in Division VIa (West of Scotland)","had"
"143",169110,"had.27.1-2","Haddock (Melanogrammus aeglefinus) in subareas 1 and 2 (Northeast Arctic)","had"
"144",169108,"had.27.46a20","Haddock (Melanogrammus aeglefinus) in Subarea 4, Division 6.a, and Subdivision 20  (North Sea, West of Scotland, Skagerrak) ","had"
"145",169112,"had.27.5a","Haddock (Melanogrammus aeglefinus) in Division 5.a (Iceland grounds)","had"
"146",169111,"had.27.5b","Haddock (Melanogrammus aeglefinus) in Division 5.b (Faroes grounds)","had"
"147",169114,"had.27.6b","Haddock (Melanogrammus aeglefinus) in Division 6.b (Rockall)","had"
"148",169113,"had.27.7a","Haddock (Melanogrammus aeglefinus) in Division7.a (Irish Sea)","had"
"149",169109,"had.27.7b–k","Haddock (Melanogrammus aeglefinus) in divisions 7.b–k (southern Celtic Seas and English Channel)","had"
"150",169115,"her-2532-gor","Herring in Subdivisions 25 - 29 (minus Gulf of Riga) and 32","her"
"151",136553,"her-30","Herring in Subdivision 30 (Bothnian Sea)","her"
"152",136554,"her-31","Herring in Subdivision 31 (Bothnian Bay)","her"
"153",169118,"her-3a22","Herring in Division IIIa and Subdivisions 22 - 24 (Western Baltic spring spawners)","her"
"154",169119,"her-47d3","Herring in Subarea IV and Divisions IIIa and VIId (North Sea autumn spawners)","her"
"155",169120,"her-67bc","Herring (Clupea harengus) in divisions 6.a and 7.b–c (West of Scotland, West of Ireland)","her"
"156",169121,"her-irls","Herring (Clupea harengus) in Divisions VIIa south of 52°30’N and VIIg,h,j,k (Irish Sea, Celtic Sea and southwest of Ireland)","her"
"157",169121,"her-irls","Herring in Division VIIa South of 52° 30’ N and VIIg,h,j,k (Celtic Sea and South of Ireland)","her"
"158",136558,"her-irlw","Herring in Divisions VIa (South) and VIIb,c","her"
"159",169122,"her-nirs","Herring in Division VIIa North of 52° 30’ N (Irish Sea)","her"
"160",169123,"her-noss","Herring in the Northeast Atlantic (Norwegian spring-spawning herring)","her"
"161",169124,"her-riga","Herring in Subdivision 28.1 (Gulf of Riga)","her"
"162",169125,"her-vasu","Herring in Division Va (Icelandic summer-spawners)","her"
"163",136563,"her-vian","Herring in Division VIa (North)","her"
"164",169123,"her.27.1-24a514a","Herring (Clupea harengus) in subareas 1, 2, 5 and divisions 4.a and 14.a, Norwegian spring-spawning herring (the Northeast Atlantic and Arctic Ocean)","her"
"165",169118,"her.27.20-24","Herring (Clupea harengus) in subdivisions 20–24, spring spawners (Skagerrak, Kattegat, and western Baltic)","her"
"166",169115,"her.27.25-2932","Herring (Clupea harengus) in subdivisions 25–29 and 32, excluding the Gulf of Riga (central Baltic Sea)","her"
"167",169124,"her.27.28","Herring (Clupea harengus) in Subdivision 28.1 (Gulf of Riga)","her"
"168",169673,"her.27.3031","Herring (Clupea harengus) in Subdivisions 30 and 31 (Gulf of Bothnia)","her"
"169",169119,"her.27.3a47d","Herring (Clupea harengus) in Subarea 4 and divisions 3.a and 7.d, autumn spawners (North Sea, Skagerrak and Kattegat, eastern English Channel)","her"
"170",169125,"her.27.5a","Herring (Clupea harengus) in Division 5.a, summer-spawning herring (Iceland grounds)","her"
"171",169120,"her.27.6a7bc","Herring (Clupea harengus) in divisions 6.a and 7.b–c (West of Scotland, West of Ireland)","her"
"172",169121,"her.27.irls","Herring (Clupea harengus) in divisions 7.a South of 52°30’N, 7.g–h, and 7.j–k (Irish Sea, Celtic Sea, and southwest of Ireland)","her"
"173",169122,"her.27.nirs","Herring (Clupea harengus) in Division 7.a North of 52°30’N (Irish Sea)","her"
"174",169126,"hke-nrtn","Hake in Division IIIa, Subareas IV, VI and VII and Divisions VIIIa,b,d (Northern stock)","hke"
"175",169127,"hke-soth","Hake in Division VIIIc and IXa (Southern stock)","hke"
"176",169126,"hke.27.3a46-8abd","Hake (Merluccius merluccius) in Subareas 4, 6, and 7, and Divisions 3.a, 8.a–b, and 8.d, Northern stock (Greater North Sea, Celtic Seas, and the northern Bay of Biscay)","hke"
"177",169127,"hke.27.8c9a","Hake (Merluccius merluccius) in divisions 8.c and 9.a, Southern stock (Cantabrian Sea and  Atlantic Iberian waters)","hke"
